Name,Basic Allowance (£),Special Responsibility Allowance (£),Carer's Allowance (£),Travel and Subsistence Allowance (£),Total (£)
Councillor M Abbasi,4875.00,,,,4875.00
Councillor M Altaf-Khan,4875.00,4277.44,,,9152.44
Councillor F Anwar,4875.00,,,,4875.00
Councillor J Azad,4369.28,,,,4369.28
Councillor E Benjamin,518.84,,,,518.84
Councillor R Brandt,4875.00,,,,4875.00
Councillor S Brown,4875.00,8381.13,,,13256.13
Councillor N Chapman,4369.28,,,,4369.28
Councillor B Clack,518.84,,,,518.84
Councillor M Clarkson,4875.00,,,,4875.00
Councillor C Cook,4875.00,152.64,,,5027.64
Councillor V Coulter,4638.82,3736.41,,,8375.23
Councillor S Curran,4369.28,,,,4369.28
Councillor R Darke,518.84,518.84,,,1037.68
Councillor J Fooks,4875.00,246.29,,,5121.29
Councillor J Fry,4875.00,,,,4875.00
Councillor A Gant,4875.00,6183.43,,,11058.43
Councillor S Goddard,4875.00,,,,4875.00
Councillor A Goff,4369.28,,,,4369.28
Councillor M Gotch,518.84,,,,518.84
Councillor M Haines,4875.00,,,,4875.00
Councillor T Hayes,4143.78,,,,4143.78
Councillor D Henwood,4875.00,,,,4875.00
Councillor S Hollick,518.84,,,,518.84
Councillor A Hollingsworth,4875.00,7311.96,,67.10,12254.06
Councillor R Humberstone,4875.00,1679.86,,,6554.86
Councillor D Iley-Williamson,4369.28,,,,4369.28
Councillor P Kennedy,4875.00,7311.69,,,12186.96
Councillor T Landall-Mills,4369.28,,,,4369.29
Councillor B Lloyd-Shogbesan,4875.00,,,,4875.00
Councillor M Lygo,4875.00,915.96,,,5790.96
Councillor S Malik,4875.00,152.64,,,5027.64
Councillor C Munkonge,4875.00,,,,4875.00
Councillor M Paule,4875.00,,,,4875.00
Councillor J Pegg,4875.00,,,,4875.00
Councillor S Pressel,4875.00,,,,4875.00
Councillor R Price,4875.00,21936.96,,240.40,27052.36
Councillor M Rowley,4875.00,7311.96,,,12186.96
Councillor G Royce,518.84,,,,518.84
Councillor G Sanders,4875.00,,,,4875.00
Councillor C Simm,4875.00,7311.96,,,12186.96
Councillor C Simmons,4875.00,3339.42,,,8214.42
Councillor D Sinclair,4875.00,7311.96,,47.00,12233.96
Councillor L Smith,4875.00,6568.32,,123.90,11567.22
Councillor J Tanner,4875.00,7311.96,,67.10,12254.06
Councillor R Tarver,4875.00,,,,4875.00
Councillor S Taylor,4875.00,,,,4875.00
Councillor D Thomas,4875.00,,,,4875.00
Councillor M Tidball,4369.28,,,,4369.28
Councillor E Turner,4875.00,12186.96,,126.00,17187.96
Councillor A Upton,4875.00,6161.47,,,11036.47
Councillor O Van Nooijen,518.84,,,,518.84
Councillor E Wade,4875.00,,,,4875.00
Councillor R Wilkinson,4875.00,,,,4875.00
Councillor R Wolff,4875.00,,,,4875.00
