Ward,Electoral Ward,Name of Candidate,Party,Votes,Result,Year
Barton and Sandhills,E05006545,BARNARD Sallie Anne,Liberal Democrat,105,Not elected,2014
Barton and Sandhills,E05006545,COULTER Van,Labour and Co-operative Party Candidate,773,Elected,2014
Barton and Sandhills,E05006545,HITCHINS Raymond,Green Party,121,Not elected,2014
Barton and Sandhills,E05006545,JOHNSON James,The Conservative Party Candidate,202,Not elected,2014
Barton and Sandhills,E05006545,LINUS Benjamin,Independent,28,Not elected,2014
Barton and Sandhills,E05006545,MACDONALD Ian John,UKIP,293,Not elected,2014
Blackbird Leys,E05006546,BHAGWANDIN Vanessa,The Conservative Party Candidate,54,Not elected,2014
Blackbird Leys,E05006546,BIRD Kenrick Simon George,UKIP,196,Not elected,2014
Blackbird Leys,E05006546,HUMBERSTONE Rae,The Labour Party Candidate,642,Elected,2014
Blackbird Leys,E05006546,MCHALE Elizabeth,Green Party,43,Not elected,2014
Blackbird Leys,E05006546,WHEELER Mark Richard,Liberal Democrat,19,Not elected,2014
Carfax,E05006547,AHMED Maryam,The Conservative Party Candidate,315,Not elected,2014
Carfax,E05006547,BRANDT Ruth,Green Party,483,Elected,2014
Carfax,E05006547,BRETT Antony Edwin St John,Liberal Democrat,276,Not elected,2014
Carfax,E05006547,DE VOIL Alasdair Iain,The Official Monster Raving Loony Party,45,Not elected,2014
Carfax,E05006547,HOLLINGSWORTH Alexander John,Labour and Co-operative Party Candidate,448,Not elected,2014
Churchill,E05006548,BEKTAS Berk Burak,The Conservative Party Candidate,117,Not elected,2014
Churchill,E05006548,BROWN Susan Woolford,The Labour Party Candidate,607,Elected,2014
Churchill,E05006548,FAULTLESS Julian,Green Party,164,Not elected,2014
Churchill,E05006548,REILLY James Augustine,Liberal Democrat,95,Not elected,2014
Churchill,E05006548,SLATER Charles David,UKIP,179,Not elected,2014
Cowley,E05006549,ARTWELL Chaka,Independent,373,Not elected,2014
Cowley,E05006549,COCHRANE Clare Valerie,Green Party,268,Not elected,2014
Cowley,E05006549,DIXON Gary William,The Conservative Party Candidate,186,Not elected,2014
Cowley,E05006549,GULZAR Imtiaz,Liberal Democrat,142,Not elected,2014
Cowley,E05006549,SIMM Christine Mary,The Labour Party Candidate,659,Elected,2014
Cowley Marsh,E05006550,ABBASI Mohammed Niaz,The Labour Party Candidate,793,Elected,2014
Cowley Marsh,E05006550,HARLEY Judith Anne,The Conservative Party Candidate,394,Not elected,2014
