Account_id   ,Account_holder,address_1                              ,address_2                              ,address_3                           ,address_4                           ,postcode,property_reference            ,property_description,liable_from              ,current_rateable_value
71188887,VODAFONE LTD                    ,VODAFONE SITE REF (CS5997)         ,ABERCROMBIE BLOCK OXFORD BROOKES   ,UNIVERSITY  GIPSEY LANE         ,HEADINGTON                      ,OX3 0BP ,11001805997,COMMUNICATION STATION AND PREMISES                          ,01.04.2005               ,13250
71188887,VODAFONE LTD                    ,VODAFONE SITE REF (CS5997)         ,ABERCROMBIE BLOCK OXFORD BROOKES   ,UNIVERSITY  GIPSEY LANE         ,HEADINGTON                      ,OX3 0BP ,11001805997,Communication Station and Premises                          ,01.04.2005               ,13250
70677351,DAIRY CREST LTD                 ,DEPOT AT TOWLES MILL               ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4XP ,11002000004,STORE AND PREMISES                                          ,22.10.1993               ,109000
70677351,DAIRY CREST LTD                 ,DEPOT AT TOWLES MILL               ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4XP ,11002000004,STORE AND PREMISES                                          ,22.10.1993               ,109000
71188733,MOBILE BROADBAND NETWORK LTD    ,HUTCHINSON (OX0012) STREETWORKS    ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4RA ,11002000012,COMMUNICATION STATION AND PREMISES                          ,01.04.2010               ,4900
71188733,MOBILE BROADBAND NETWORK LTD    ,HUTCHINSON (OX0012) STREETWORKS    ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4RA ,11002000012,Communication Station and Premises                          ,01.04.2010               ,4900
71192411,TRAVELODGE HOTELS LTD           ,TRAVELODGE                         ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4XJ ,11002000111,HOTEL AND PREMISES                                          ,07.12.2015               ,162000
71192411,TRAVELODGE HOTELS LTD           ,TRAVELODGE                         ,ABINGDON ROAD                      ,OXFORD                          ,                                ,OX1 4XJ ,11002000111,Hotel and Premises                                          ,07.12.2015               ,162000
71191444,SHELDON INNS LTD                ,THE FOLLY                          ,38 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PD ,11002003800,PUBLIC HOUSE AND PREMISES                                   ,14.05.2014               ,26500
71191444,SHELDON INNS LTD                ,THE FOLLY                          ,38 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PD ,11002003800,PUBLIC HOUSE AND PREMISES                                   ,14.05.2014               ,26500
71185965,FOUR PILLARS HOTELS LTD         ,OXFORD SPIRES FOUR PILLARS HOTEL   ,85 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PR ,11002008503,HOTEL AND PREMISES                                          ,22.12.2000               ,890000
71185965,FOUR PILLARS HOTELS LTD         ,OXFORD SPIRES FOUR PILLARS HOTEL   ,85 ABINGDON ROAD                   ,OXFORD                          ,                                ,OX1 4PR ,11002008503,HOTEL AND PREMISES                                          ,22.12.2000               ,890000
70852991,SPIRES (OXFORD) LTD             ,88-90 ABINGDON ROAD                ,OXFORD                             ,                                ,                                ,OX1 4PX ,11002009000,GUEST HOUSE AND PREMISES                                    ,15.05.1996               ,24250
70852991,SPIRES (OXFORD) LTD             ,88-90 ABINGDON ROAD                ,OXFORD                             ,                                ,                                ,OX1 4PX ,11002009000,GUEST HOUSE AND PREMISES                                    ,15.05.1996               ,24250
71189833,AKIPORT LIMITED                 ,192 ABINGDON ROAD                  ,OXFORD                             ,                                ,                                ,OX1 4RA ,11002019201,SHOP AND PREMISES                                           ,04.04.2010               ,5600
71189833,AKIPORT LIMITED                 ,192 ABINGDON ROAD                  ,OXFORD                             ,                                ,                                ,OX1 4RA ,11002019201,SHOP AND PREMISES                                           ,04.04.2010               ,5600
71193339,HOME PUBS LTD                   ,THE BERKSHIRE                      ,200 ABINGDON ROAD                  ,OXFORD                          ,                                ,OX1 4RA ,11002020000,PUBLIC HOUSE AND PREMISES                                   ,06.03.2017               ,12250
71193339,HOME PUBS LTD                   ,THE BERKSHIRE                      ,200 ABINGDON ROAD                  ,OXFORD                          ,                                ,OX1 4RA ,11002020000,PUBLIC HOUSE AND PREMISES                                   ,06.03.2017               ,12250
71190442,UBYK LTD                        ,272 ABINGDON ROAD                  ,OXFORD                             ,                                ,                                ,OX1 4TA ,11002027201,SHOP AND PREMISES                                           ,01.04.2013               ,19250
71190442,UBYK LTD                        ,272 ABINGDON ROAD                  ,OXFORD                             ,                                ,                                ,OX1 4TA ,11002027201,SHOP AND PREMISES                                           ,01.04.2013               ,19250
71191781,TESCO PERSONAL FINANCE PLC      ,ATM SITE AT TESCO EXPRESS          ,279 ABINGDON ROAD                  ,OXFORD                          ,                                ,OX1 4TJ ,11002027901,SITE OF ATM                                                 ,23.02.2014               ,8300
71191781,TESCO PERSONAL FINANCE PLC      ,ATM SITE AT TESCO EXPRESS          ,279 ABINGDON ROAD                  ,OXFORD                          ,                                ,OX1 4TJ ,11002027901,Site of ATM                                                 ,23.02.2014               ,8300
71191782,TESCO STORES LTD                ,TESCO EXPRESS                      ,279 ABINGDON ROAD                  ,OXFORD                          ,                                ,OX1 4TJ ,11002027902,SHOP AND PREMISES                                           ,23.02.2014               ,64500
71191782,TESCO STORES LTD                ,TESCO EXPRESS                      ,279 ABINGDON ROAD                  ,OXFORD                          ,                                ,OX1 4TJ ,11002027902,Shop and Premises                                           ,23.02.2014               ,64500
71182210,A&C SERVICES (OXFORD) LTD       ,282A ABINGDON ROAD                 ,OXFORD                             ,                                ,                                ,OX1 4TE ,11002028201,SHOP AND PREMISES                                           ,31.01.2002               ,9700
71182210,A&C SERVICES (OXFORD) LTD       ,282A ABINGDON ROAD                 ,OXFORD                             ,                                ,                                ,OX1 4TE ,11002028201,SHOP AND PREMISES                                           ,31.01.2002               ,9700
