Grant reference,Identifier,Recipient Org:Name,Recipient Org:Identifier,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Description,Amount Awarded,Currency,Award Date,Award Year,How Paid,Description,Title,Funding Org:Identifier,Funding Org:Name,Beneficiary Location:Name,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Last modified,Data Source
0002,360G-OxfordCC-2014-15-0002,Archway Foundation,GB-CHC-299533,299533,,Registered charity,7500,GBP,2014-02-12,2014/15,"4 quarterly payments of œ1,875","Funding was awarded to support individuals in Oxford who feel isolated, lonely and marginalised through disabity, low income or heath problems.",Grant to Archway Foundation,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0003,360G-OxfordCC-2014-15-0003,Ark T Centre,GB-CHC-1079495,1079495,,Registered charity,4690,GBP,2014-02-12,2014/15,"2 , 6 monthly payments of œ2,345",Funding was awarded to work with up to 61 young people from various areas of the city to give them the opportuntiy to make their own music and perform at 7 music gigs throughout the year.,Grant to Ark T Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0004,360G-OxfordCC-2014-15-0004,Asylum Welcome,GB-CHC-1092265,1092265,,Registered charity,7500,GBP,2014-02-12,2014/15,"4 quarterly payments of œ1,875",Funding was awarded to support refugees and asylum seekers in Oxford.,Grant to Asylum Welcome,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0005,360G-OxfordCC-2014-15-0005,Blackbird Leys Adventure Playground,GB-CHC-273172,273172,,Registered charity,10000,GBP,2014-02-12,2014/15,"4 quarterly payments of œ2,500",Funding was awarded to contribute towards the running of out of schools activities on Blackbird Leys,Grant to Blackbird Leys Adventure Playground,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0006,360G-OxfordCC-2014-15-0006,Blackbird Leys Community Developmetn Initiative,GB-CHC-1137129,1137129,,Registered charity,7500,GBP,2014-02-12,2014/15,"4 quarterly payments of œ1,875",Funding was awarded for the Clockhouse Project - running activities for local residents over 50 years old,Grant to Blackbird Leys Community Developmetn Initiative,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0007,360G-OxfordCC-2014-15-0007,Cutteslowe Seniors,360G-OxfordCC-Cutteslowe-Seniors,,,Unregistered community group,1000,GBP,2014-02-12,2014/15,single payment,Funding awarded to support transport costs for the most vulnerable and access for disadvantaged individuals.,Grant to Cutteslowe Seniors,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0008,360G-OxfordCC-2014-15-0008,Donnington Doorstep Family Centre,GB-CHC-1144821,1144821,,Incorporated company and registered charity,7500,GBP,2014-02-12,2014/15,"4 quarterly payments of œ1,700",Funding was awarded to contribute towards the 1-2-1 support for children and young people who have been identified as at risk of social exclusion or offending. œ700 was deducted from the grant to pay rent charges due to Oxford City Council for 2014/15.,Grant to Donnington Doorstep Family Centre,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0009,360G-OxfordCC-2014-15-0009,Florence Park Community Association,GB-CHC-304301,304301,,Registered charity,2080,GBP,2014-02-12,2014/15,single payment,Funding was awarded to fund the costs of a part time coordinator to develop a weekly lunch and film club for older people living in the local area.,Grant to Florence Park Community Association,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0010,360G-OxfordCC-2014-15-0010,Innovista - Thrive Project,GB-CHC-1108679,1108679,,Registered charity,2892,GBP,2014-02-12,2014/15,single payment,Funding was awarded to work with up to 16 girls and young women on Barton who have a low self-esteem.,Grant to Innovista - Thrive Project,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
0011,360G-OxfordCC-2014-15-0011,Leys News,GB-COH-03591512,,3591512,Social enterprise not for profit limited company,10000,GBP,2014-02-12,2014/15,"4 quarterly payments of œ2,500","Funding was awarded to support community newsletters across the city with editorial guidance, design, production and help with addressing the sustainability of their newsletters.",Grant to Leys News,GB-LAE-OXO,Oxford City Council,Oxford,E07000178,LAD,2017-12-01T00:00:00Z,https://www2.oxopendata.uk/Community/Oxford-City-Grants-Awarded/rmcp-f6uw/data
