,,,,,,,,,,,,,
,,,,,,,,,,,,,
Expenditure over £500,,,,,,,,,,,,,
<<For the period from 01 April 2017 to 30 June 2017>>,,,,,,,,,,,,,
,,,,,,,,,,,,,
Service Area,,Expenditure Catergory,,Expenditure Code,Description,,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name,
General Fund,,Difference A/c,,Z910198,Total current charges incl. VAT OneBill Ref: 03493270AC-03493270 Q04701,,03/05/2017,1036863 - 4,-0.01,Revenue,,,
General Fund,,C.I.T.Awaiting Payment,,Z970590,948PV00113865 CIS Tax 6/3/17-05/4/17,,19/04/2017,46293406 - 1,"8,151.90",Revenue,20016580,HMRC,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,REFUNDABLE BOND,,21/04/2017,46293454 - 1,"1,000.00",Revenue,36801517,iMP,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,inv 51264307 also pd by DD,,28/04/2017,46293534 - 1,809.64,Revenue,36725613,TOUCHLOAD LTD,
General Fund,,C.I.T.Awaiting Payment,,Z970590,948PV00113865 CIS 06042017-05052017,,16/05/2017,46293661 - 1,"4,060.95",Revenue,20016580,HMRC,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,REFUND CREDIT 51255148/51254145,,12/05/2017,46293676 - 0,"2,021.74",Revenue,36723972,RUSKIN COLLEGE,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,Closed Subscription,,12/05/2017,46293679 - 1,"3,385.67",Revenue,36009321,RED OPIA LTD,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,Closed Subscription,,12/05/2017,46293681 - 1,540,Revenue,36022651,ST CHRISTOPHERS PRIMARY SCHOOL,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,OVERPAID 36017377,,16/05/2017,46293692 - 1,"1,250.00",Revenue,20014454,EMMAUS OXFORD (STORE) LIMITED,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,REFUNDABLE BOND,,19/05/2017,46293791 - 0,500,Revenue,36701489,QUIDDITCH UK,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,PAYMENT FOR INV 51263630 PD BY DD,,19/05/2017,46293793 - 0,639.73,Revenue,36725179,TOUCHLOAD LTD T/A KINGS SCHOOL,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,36725587 REFUND OF CREDIT NOTES,,23/05/2017,46293804 - 1,726.44,Revenue,20000000,GENERAL EXPENSES,
General Fund,,C.I.T.Awaiting Payment,,Z970590,CIS due 06052017-05062017 948PV00113865,,13/06/2017,46294033 - 1,"5,416.01",Revenue,20016580,HMRC,
General Fund,,Difference A/c,,Z910198,Contra credit note,,20/06/2017,46294096 - 3,-0.01,Revenue,,,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,REFUNDABLE DEPOSIT,,23/06/2017,46294207 - 0,500,Revenue,36022982,BRITISH HEART FOUNDATION,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,REFUNDABLE DEPOSIT,,23/06/2017,46294208 - 1,"1,000.00",Revenue,36801295,ATHAR ALI & NADIA AZIZ,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,REFUNDABLE DEPOSIT,,23/06/2017,46294214 - 1,500,Revenue,36023784,OXFORD HINDU TEMPLE AND COMMUNITY CENTRE PROJECT,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,REFUNDABLE DEPOSIT,,23/06/2017,46294215 - 0,500,Revenue,36018462,OXFORD UNIVERSITY HINDU SOCIETY,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,REFUNDABLE DEPOSIT,,23/06/2017,46294216 - 1,500,Revenue,36801621,DIGME FITNESS,
General Fund,,AR Refunds (Sundries & Periodics),,Z400404,credit 51254003/51255525 paid in full,,23/06/2017,46294222 - 1,607.41,Revenue,36725660,WEBB ONE LTD T/A MCDONALDS BOTLEY,
Assistant Chief Executive,,General Contracted Services,,D3401,HAND-OFF OXFORD CITY CAMPAIGN GRAPHICS,,04/04/2017,1036241 - 0,800,Revenue,20003025,PETE RUSSELL,
Assistant Chief Executive,,Consultants Fees,,D3411,Sales Order : 17000108 S2,,25/04/2017,1036401 - 0,"43,900.00",Revenue,20018173,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,
Assistant Chief Executive,,Contract Printing (External),,D3303,HANDS OFF OXFORD CAMPAIGN,,11/04/2017,1036443 - 0,"3,675.00",Revenue,20011523,HERALD CHASE,
