Case Number,Address,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
16/01202/HMOADS,18 Abbey Road Oxford Oxfordshire OX2 0AE,4,,13/05/2016,24/01/2021
16/01865/HMOADS,20 Abbey Road Oxford Oxfordshire OX2 0AE,4,,29/05/2016,24/01/2021
16/04085/HMOADL,52 Abbey Road Oxford Oxfordshire OX2 0AG,5,,29/09/2016,29/09/2017
17/01141/HMOADL,50 Abbey Road Oxford Oxfordshire OX2 0AG,4,4,25/05/2017,24/05/2018
17/02652/HMOADL,18 Abbey Road Oxford Oxfordshire OX2 0AE,4,4,21/07/2017,24/01/2021
16/00565/HMOADS,58 Abbey Road Oxford Oxfordshire OX2 0AG,3,,01/04/2016,01/04/2018
17/02558/HMOADS,14 Abbots Wood (east) Oxford Oxfordshire OX3 8TR,4,4,16/08/2017,15/08/2019
17/01366/HMOLIC,257 Abingdon Road Oxford Oxfordshire OX1 4TH,5,,17/08/2017,16/08/2018
16/05814/HMOLIC,242 Abingdon Road Oxford Oxfordshire OX1 4SP,6,,22/02/2017,21/02/2018
17/00124/HMOLIC,83 Abingdon Road Oxford Oxfordshire OX1 4PR,5,,22/03/2017,21/03/2018
17/00127/HMOADL,240 Abingdon Road Oxford Oxfordshire OX1 4SP,6,,22/03/2017,21/03/2018
17/00178/HMOADS,255 Abingdon Road Oxford Oxfordshire OX1 4TH,4,4,03/03/2017,03/03/2018
17/00448/HMOLIC,216B Abingdon Road Oxford Oxfordshire OX1 4SP,5,5,04/04/2017,03/04/2019
17/00640/HMOLIC,244 Abingdon Road Oxford Oxfordshire OX1 4SP,8,8,27/04/2017,26/04/2019
17/00797/HMOLIC,62 Abingdon Road Oxford Oxfordshire OX1 4PE,7,,25/04/2017,24/04/2022
17/00848/HMOADS,78 Abingdon Road Oxford Oxfordshire OX1 4PL,4,,05/07/2017,04/07/2018
16/05747/HMOLIC,354 Abingdon Road Oxford Oxfordshire OX1 4TQ,6,,27/01/2017,27/01/2018
17/01326/HMOLIC,52 Abingdon Road Oxford Oxfordshire OX1 4PE,7,7,16/06/2017,15/06/2018
16/05383/HMOADL,102 Abingdon Road Oxford Oxfordshire OX1 4PX,9,,30/12/2016,24/01/2021
17/01373/HMOADS,253 Abingdon Road Oxford Oxfordshire OX1 4TH,4,,24/06/2017,23/06/2019
17/02882/HMOADS,430 Abingdon Road Oxford Oxfordshire OX1 4XG,4,,03/08/2017,02/08/2018
17/00996/HMOADS,295B Abingdon Road Oxford Oxfordshire OX1 4TJ,3,,05/05/2017,04/05/2018
16/03608/HMOLIC,46 Abingdon Road Oxford Oxfordshire OX1 4PE,6,6,21/08/2016,21/09/2017
15/01957/HMOADS,296 Abingdon Road Oxford OX1 4TE,4,4,15/12/2016,15/12/2017
15/03717/HMOADS,271 Abingdon Road Oxford Oxfordshire OX1 4TJ,4,,09/01/2017,09/01/2018
16/01135/HMOADS,259 Abingdon Road Oxford OX1 4TH,4,,14/02/2017,13/02/2018
16/01958/HMOLIC,216A Abingdon Road Oxford Oxfordshire OX1 4SP,5,5,05/06/2016,04/02/2018
16/05495/HMOLIC,72 Abingdon Road Oxford Oxfordshire OX1 4PL,6,,16/12/2016,16/12/2017
16/03382/HMOADS,286 Abingdon Road Oxford Oxfordshire OX1 4TE,4,4,06/08/2016,06/11/2017
16/03630/HMOLIC,40A Abingdon Road Oxford Oxfordshire OX1 4PE,8,,13/04/2017,13/04/2018
16/03632/HMOLIC,58 Abingdon Road Oxford Oxfordshire OX1 4PE,6,6,27/08/2016,19/07/2018
16/03982/HMOLIC,54 Abingdon Road Oxford Oxfordshire OX1 4PE,6,6,14/06/2017,13/06/2018
16/04422/HMOADL,328 Abingdon Road Oxford Oxfordshire OX1 4TQ,5,,22/05/2017,21/05/2018
16/04492/HMOLIC,230 Abingdon Road Oxford Oxfordshire OX1 4SP,6,6,10/04/2017,09/04/2018
16/04808/HMOADL,204 Abingdon Road Oxford Oxfordshire OX1 4SP,3,,10/11/2016,10/11/2017
16/05408/HMOADL,170 Abingdon Road Oxford Oxfordshire OX1 4RA,4,4,01/01/2017,01/02/2018
16/02674/HMOLIC,100 Abingdon Road Oxford Oxfordshire OX1 4PX,9,,25/07/2016,25/07/2021
16/05605/HMOADS,17 Ablett Close Oxford Oxfordshire OX4 1XH,4,,17/01/2017,12/02/2018
16/06230/HMOADS,4 Ablett Close Oxford Oxfordshire OX4 1XH,3,3,10/03/2017,24/01/2021
17/02640/HMOADS,34 Ablett Close Oxford Oxfordshire OX4 1XH,4,4,07/11/2017,06/11/2019
17/01952/HMOADL,6 Ablett Close Oxford Oxfordshire,3,3,25/10/2016,24/10/2018
17/00489/HMOADS,1 Ablett Close Oxford Oxfordshire OX4 1XH,4,4,11/04/2017,24/01/2021
17/01009/HMOADS,30 Ablett Close Oxford Oxfordshire OX4 1XH,4,,25/04/2017,24/04/2018
16/05280/HMOADS,25 Ablett Close Oxford Oxfordshire OX4 1XH,4,4,18/12/2016,24/01/2021
16/05203/HMOADL,22 Ablett Close Oxford Oxfordshire OX4 1XH,3,,03/02/2017,03/02/2018
16/04089/HMOADS,37 Ablett Close Oxford Oxfordshire OX4 1XH,4,4,26/01/2017,26/01/2018
16/03839/HMOADS,11 Ablett Close Oxford Oxfordshire OX4 1XH,4,,22/09/2016,21/09/2018
16/05539/HMOADS,8 Ablett Close Oxford Oxfordshire OX4 1XH,4,4,14/01/2017,13/01/2018
16/05943/HMOADS,3 Acland Close Oxford Oxfordshire OX3 7XE,4,3,11/02/2017,11/02/2018
16/06026/HMOADS,7 Acland Close Oxford Oxfordshire OX3 7XE,3,3,12/02/2017,24/01/2021
16/03351/HMOADL,3 Addison Crescent Oxford OX4 4BD,5,,01/08/2016,01/11/2017
16/05609/HMOLIC,Wynton 9 Addison Crescent Oxford Oxfordshire OX4 4BD,5,5,18/01/2017,17/03/2018
16/04945/HMOADL,24 Addison Crescent Oxford Oxfordshire OX4 4BD,5,,05/12/2016,05/12/2017
16/02975/HMOADL,19 Addison Crescent Oxford Oxfordshire OX4 4BD,5,,07/07/2016,07/10/2017
16/00842/HMOADL,11 Addison Crescent Oxford Oxfordshire OX4 4BD,6,,27/04/2016,27/04/2018
16/05037/HMOADS,2 Addison Crescent Oxford Oxfordshire OX4 4BD,4,,01/12/2016,01/12/2018
17/00134/HMOADS,24 Adelaide Street Oxford Oxfordshire OX2 6EN,3,,25/05/2017,24/05/2018
16/04898/HMOADS,23A Albert Street Oxford Oxfordshire OX2 6AZ,3,3,20/11/2016,19/01/2018
16/06047/HMOADS,23B Albert Street Oxford Oxfordshire OX2 6AZ,3,3,06/02/2017,05/02/2018
17/03876/HMOADS,1 Albert Street Oxford Oxfordshire OX2 6AY,5,,13/03/2017,12/03/2018
16/05132/HMOADL,6 Aldrich Road Oxford Oxfordshire OX2 7SS,8,,23/02/2017,22/02/2018
17/01520/HMOADL,4 Aldrich Road Oxford Oxfordshire OX2 7SS,7,,24/06/2017,24/01/2021
17/02561/HMOADL,17 Aldrich Road Oxford Oxfordshire OX2 7SS,4,4,16/08/2017,15/08/2018
16/02886/HMOADL,6 Alesworth Grove Oxford Oxfordshire OX3 9RD,6,,23/01/2017,23/01/2018
16/03171/HMOADS,9 Alexandra Road Oxford Oxfordshire OX2 0DD,4,,18/08/2016,18/10/2017
17/01918/HMOADS,33 Alexandra Road Oxford Oxfordshire OX2 0DD,3,3,01/08/2017,24/01/2021
17/01727/HMOLIC,1A Allam Street Oxford Oxfordshire OX2 6DQ,5,,12/07/2017,11/07/2022
16/00451/HMOADL,12 Alma Place Oxford Oxfordshire OX4 1JW,5,5,05/10/2016,05/10/2017
16/03092/HMOADS,3 Alma Place Oxford Oxfordshire OX4 1JW,4,4,14/07/2016,14/10/2017
15/04516/HMOLIC,46A Ambleside Drive Oxford Headington Oxfordshire OX3 0AQ,5,,09/01/2017,09/01/2018
17/00235/HMOADS,30 Ambleside Drive Oxford Oxfordshire OX3 0AQ,5,,01/04/2017,31/03/2018
17/01458/HMOADL,56 Ambleside Drive Oxford Oxfordshire OX3 0AH,8,5,28/06/2017,27/06/2018
16/00604/HMOADS,19 Annesley Road Oxford Oxfordshire OX4 4JH,4,4,05/12/2016,05/12/2017
16/03751/HMOADL,21 Annesley Road Oxford Oxfordshire OX4 4JH,6,6,09/09/2016,09/11/2017
16/05607/HMOADS,7 Appletree Close Oxford Oxfordshire OX4 7GP,3,3,20/01/2017,19/01/2018
16/03119/HMOADL,54 Argyle Street Oxford Oxfordshire OX4 1SS,5,5,16/07/2016,16/10/2017
,,,,,
17/00253/HMOADL,33 Argyle Street Oxford Oxfordshire OX4 1ST,4,,25/03/2017,24/03/2018
17/00251/HMOLIC,31 Argyle Street Oxford Oxfordshire OX4 1ST,6,,25/03/2017,24/03/2018
16/03685/HMOADL,25 Argyle Street Oxford Oxfordshire OX4 1ST,4,4,02/09/2016,02/11/2017
16/03222/HMOADS,29 Argyle Street Oxford Oxfordshire OX4 1ST,4,,17/07/2016,24/01/2021
16/00160/HMOLIC,11 Argyle Street Oxford Oxfordshire OX4 1ST,6,6,26/02/2016,26/10/2017
16/03421/HMOADL,42 Argyle Street Oxford OX4 1SS,5,4,28/08/2016,24/01/2021
16/02203/HMOADL,34 Arlington Drive Marston Oxford OX3 0SJ,8,,20/03/2017,19/03/2018
16/02633/HMOLIC,6 Arlington Drive Oxford Oxfordshire OX3 0SH,5,4,25/06/2016,25/06/2018
17/00551/HMOADS,71 Arlington Drive Oxford Oxfordshire OX3 0SL,4,,27/04/2017,24/01/2021
17/02887/HMOLIC,4 Ash Grove Oxford Headington Oxfordshire OX3 9JL,6,,16/08/2017,15/08/2018
17/00234/HMOADL,46 Ashhurst Way Oxford OX4 4RE,24,,18/03/2017,17/03/2018
17/00231/HMOADL,44 Ashhurst Way Oxford Oxfordshire OX4 4RE,24,,24/03/2017,23/03/2018
15/05314/HMOADL,61 Ashhurst Way Oxford OX4 4RE,8,,22/03/2017,21/03/2018
17/00057/HMOADL,Flat B 65 Ashhurst Way Oxford Oxfordshire OX4 4RF,4,4,08/03/2017,07/03/2018
16/03010/HMOADL,36 Ashhurst Way Oxford OX4 4RE,6,,10/04/2017,09/04/2018
16/06163/HMOADL,40 Asquith Road Oxford Oxfordshire OX4 4RH,5,,20/03/2017,19/03/2018
15/02410/HMOLIC,40 Aston Street Oxford OX4 1EP,15,,05/12/2016,05/12/2017
15/04538/HMOLIC,17 Aston Street Oxford OX4 1EW,5,5,21/12/2016,21/12/2017
16/02468/HMOLIC,31 Aston Street Oxford Oxfordshire OX4 1EW,6,,22/03/2017,21/03/2018
16/02967/HMOLIC,38 Aston Street Oxford Oxfordshire OX4 1EP,5,5,07/07/2016,07/10/2017
16/03416/HMOLIC,48 Aston Street Oxford Oxfordshire OX4 1EP,6,6,26/08/2016,26/11/2017
16/04014/HMOLIC,41 Aston Street Oxford OX4 1EW,11,,24/09/2016,24/11/2017
16/04273/HMOLIC,26 Aston Street Oxford OX4 1EP,6,,14/10/2016,31/10/2017
17/01919/HMOADS,5 Aston Street Oxford Oxfordshire OX4 1EW,4,3,29/07/2017,28/07/2018
16/03991/HMOADS,7 Bailey Road Oxford Oxfordshire OX4 3HU,4,4,15/12/2016,15/12/2017
17/00366/HMOADS,71 Bailey Road Oxford Oxfordshire OX4 3HX,3,3,26/03/2017,25/03/2019
16/00155/HMOADS,46 Bailey Road Oxford Oxfordshire OX4 3HY,4,3,25/02/2016,25/02/2018
16/01449/HMOADS,48 Bailey Road Oxford Oxfordshire OX4 3HY,4,,11/05/2016,11/05/2018
17/01774/HMOADS,60 Bailey Road Oxford Oxfordshire OX4 3HY,4,,04/08/2017,03/08/2018
16/04780/HMOADS,37 Balfour Road Oxford Oxfordshire OX4 6AE,4,4,10/11/2016,10/11/2018
17/00403/HMOADS,88 Balfour Road Oxford Oxfordshire OX4 6AH,4,3,02/04/2017,02/04/2018
16/05372/HMOADS,227A Banbury Road Oxford Oxfordshire OX2 7HQ,3,,27/12/2016,27/12/2017
16/05458/HMOADL,92B Banbury Road Oxford Oxfordshire OX2 6JT,7,,07/01/2017,06/01/2018
16/05474/HMOADL,169 Banbury Road Oxford Oxfordshire,5,,08/01/2017,07/01/2018
17/00240/HMOLIC,170 Banbury Road Oxford OX2 7BT,14,,06/04/2017,05/04/2018
17/00286/HMOADS,217A Banbury Road Oxford Oxfordshire OX2 7HQ,4,4,01/04/2017,31/03/2018
17/01502/HMOADS,278 Banbury Road Oxford Oxfordshire OX2 7ED,4,4,23/06/2017,24/07/2018
14/01213/HMOADS,253A Banbury Road Oxford Oxfordshire OX2 7HN,4,,05/06/2014,14/08/2018
17/01910/HMOADS,First And Second Floor Maisonette 198 Banbury Road Oxford Oxfordshire OX2 7BY,4,,19/07/2017,18/07/2019
17/01936/HMOADS,Flat 2 Oakthorpe Mansions 205 Banbury Road Oxford Oxfordshire OX2 7HG,3,,15/07/2017,14/07/2018
16/05294/HMOLIC,117 Banbury Road Oxford Oxfordshire OX2 6JX,59,59,19/12/2016,19/12/2017
17/00823/HMOLIC,207A Banbury Road Oxford Oxfordshire OX2 7HQ,5,5,31/05/2017,30/05/2018
16/04897/HMOLIC,107 Banbury Road Oxford Oxfordshire OX2 6JX,44,44,10/11/2016,10/11/2018
16/04477/HMOADS,229A Banbury Road Oxford Oxfordshire OX2 7HQ,3,,15/10/2016,24/01/2021
16/04352/HMOADL,486 Banbury Road Oxford Oxfordshire OX2 8EN,5,5,17/10/2016,16/10/2018
16/04252/HMOADS,92C Banbury Road Oxford Oxfordshire OX2 6JT,4,,13/10/2016,13/04/2018
16/04125/HMOADL,92A Banbury Road Oxford Oxfordshire OX2 6JT,4,,01/10/2016,01/10/2017
16/03861/HMOADS,Flat 4 Oakthorpe Mansions 205 Banbury Road Oxford Oxfordshire OX2 7HG,3,,09/09/2016,09/12/2017
16/03827/HMOADS,Flat 3 Oakthorpe Mansions 205 Banbury Road Oxford Oxfordshire OX2 7HG,3,,06/09/2016,06/12/2017
16/03825/HMOADS,Flat 1 Oakthorpe Mansions 205 Banbury Road Oxford Oxfordshire OX2 7HG,3,3,06/09/2016,06/12/2017
16/00607/HMOADL,Flat A 196 Banbury Road Oxford Oxfordshire OX2 7BY,4,4,03/01/2017,03/01/2018
17/02502/HMOLIC,310 Banbury Road Oxford OX2 7ED,6,6,19/08/2017,18/08/2018
12/03578/HMOADL,470 Banbury Road Oxford Oxfordshire OX2 7RG,6,,09/01/2017,09/01/2018
16/01795/HMOADL,314 Banbury Road Oxford Oxfordshire OX2 7ED,6,6,25/05/2016,25/05/2018
17/01931/HMOADL,8 Bankside Oxford Oxfordshire,4,4,08/07/2017,07/07/2019
14/00010/HMOADS,1 Bankside Oxford Oxfordshire OX3 8LT,,,13/01/2017,13/01/2018
16/03899/HMOADL,5 Bankside Oxford Oxfordshire OX3 8LT,4,4,11/09/2016,24/01/2021
16/03097/HMOLIC,21 Bannister Close Oxford Oxfordshire OX4 1SH,5,5,14/07/2016,15/06/2018
16/05259/HMOADL,9 Barberi Close Oxford Oxfordshire OX4 4GF,4,,21/10/2016,20/10/2018
16/05469/HMOLIC,5 Bardwell Road Oxford Oxfordshire OX2 6SU,12,12,31/12/2016,31/08/2018
16/02715/HMOADS,9 Barnet Street Oxford Oxfordshire OX4 3AN,4,4,03/08/2016,24/01/2021
17/02498/HMOADL,126 Barns Road Oxford Oxfordshire OX4 3RF,3,3,06/09/2017,05/09/2018
16/01458/HMOADL,85 Barns Road Oxford Oxfordshire OX4 3QZ,5,,21/12/2016,21/12/2017
16/05284/HMOADL,1 Barns Road Oxford Oxfordshire OX4 3QY,7,,28/12/2016,28/12/2017
16/01419/HMOADS,20 Barrett Street Oxford OX2 0AT,4,4,07/04/2017,06/04/2018
16/04740/HMOADS,9 Barrington Close Oxford Oxfordshire OX3 7AX,4,4,04/11/2016,04/06/2018
17/00742/HMOADL,34 Bartholomew Road Oxford Oxfordshire OX4 3QQ,5,,27/04/2017,26/04/2019
17/00362/HMOADS,16 Bartlemas Close Oxford Oxfordshire OX4 2AE,4,4,22/03/2017,21/03/2018
16/06043/HMOADL,11 Bartlemas Road Oxford Oxfordshire OX4 1XU,5,4,15/03/2017,14/03/2018
16/05226/HMOADL,48 Bartlemas Road Oxford Oxfordshire OX4 1XX,6,,22/03/2017,21/03/2018
16/05334/HMOADL,25 Bartlemas Road Oxford Oxfordshire OX4 1XU,5,,10/02/2017,10/02/2018
16/04521/HMOADS,21 Bartlemas Road Oxford Oxfordshire OX4 1XU,4,4,20/10/2016,20/12/2017
16/05440/HMOLIC,41 Bartlemas Road Oxford OX4 1XU,8,,31/01/2017,31/01/2018
16/06175/HMOADS,19 Bartlemas Road Oxford Oxfordshire OX4 1XU,5,,19/02/2017,18/02/2018
17/00512/HMOADL,20 Bartlemas Road Oxford Oxfordshire OX4 1XX,5,6,02/03/2017,01/03/2018
17/01906/HMOLIC,30 Bartlemas Road Oxford Oxfordshire OX4 1XX,6,,18/07/2017,17/07/2018
16/04211/HMOADL,50 Bartlemas Road Oxford OX4 1XX,5,4,10/10/2016,10/08/2018
