Case Number,Address,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
17/02621/HMOTXN,41 Argyle Street Oxford Oxfordshire OX4 1ST,4,,27/06/2017,27/09/2017
17/02917/HMOTXN,32 Cowley Road Oxford Oxfordshire OX4 1HZ,4,,21/07/2017,21/10/2017
17/03907/HMOTXN,149 Dene Road Oxford Oxfordshire OX3 7JA,4,4,15/09/2017,14/12/2017
17/02571/HMOTXN,49 Divinity Road Oxford Oxfordshire OX4 1LH,4,,22/06/2017,22/09/2017
17/02648/HMOTXN,7 Highbank Close Oxford Oxfordshire OX3 0AF,5,,28/06/2017,28/09/2017
17/02801/HMOTXN,Slade Park Student Apartments Horspath Driftway Oxford Oxfordshire,114,,16/05/2017,15/08/2017
17/02690/HMOTXN,Flat 5 191 - 193 Iffley Road Oxford Oxfordshire OX4 1EN,4,,03/07/2017,01/10/2017
17/02696/HMOTXN,Flat 2 191-193 Iffley Road Oxford Oxfordshire OX4 1EN,4,,03/07/2017,01/10/2017
17/03624/HMOTXN,350 Iffley Road Oxford Oxfordshire OX4 4AU,9,,14/09/2017,13/12/2017
17/02695/HMOTXN,Flat 4 191-193 Iffley Road Oxford Oxfordshire OX4 1EN,4,,03/07/2017,01/10/2017
17/03242/HMOTXN,229 London Road Headington Oxford Oxfordshire OX3 9JA,4,,11/08/2017,11/11/2017
17/02620/HMOTXN,45 Marlborough Road Oxford Oxfordshire OX1 4LW,4,,08/02/2017,25/09/2017
17/02733/HMOTXN,18 Merewood Avenue Oxford Oxfordshire OX3 8EF,,4,05/07/2017,03/10/2017
17/02645/HMOTXN,31 South Street Oxford Oxfordshire OX2 0BE,3,,28/06/2017,28/09/2017
17/02626/HMOTXN,76 Warwick Street Oxford Oxfordshire OX4 1SY,5,,27/06/2017,27/09/2017
17/02688/HMOTXN,195 Divinity Road Oxford Oxfordshire OX4 1LP,6,6,03/07/2017,03/10/2017
