unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"21E5FEB7-7BB7-2439-E050-A8C06205342E","350000","2015-04-15","OX1 1AY","F","N","L","22","OXFORD CASTLE","NEW ROAD","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-7BB7-2439-E050-A8C06205342E/current"
"25EA59FA-7833-4D50-E050-A8C0630562D0","600000","2015-10-30","OX1 1EJ","O","N","L","","11 - 12","QUEEN STREET","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/25EA59FA-7833-4D50-E050-A8C0630562D0/current"
"21E5FEB7-56EC-2439-E050-A8C06205342E","465000","2015-05-27","OX1 1HF","F","N","L","APARTMENT 14","EMPRESS COURT","WOODINS WAY","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-56EC-2439-E050-A8C06205342E/current"
"23B6165E-BB45-FCF4-E050-A8C0620577FA","384000","2015-08-21","OX1 1HF","F","N","L","APARTMENT 22","EMPRESS COURT","WOODINS WAY","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-BB45-FCF4-E050-A8C0620577FA/current"
"25EA59FA-1222-4D50-E050-A8C0630562D0","485000","2015-10-23","OX1 1HG","F","N","L","APARTMENT 100","EMPRESS COURT","WOODINS WAY","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/25EA59FA-1222-4D50-E050-A8C0630562D0/current"
"0B572F02-46F3-4574-B5F5-8CCB3BD9CEF3","335000","2015-07-24","OX1 1HG","F","N","L","APARTMENT 108","EMPRESS COURT","WOODINS WAY","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/0B572F02-46F3-4574-B5F5-8CCB3BD9CEF3/current"
"21E5FEB7-A18B-2439-E050-A8C06205342E","750000","2015-08-17","OX1 1HG","F","N","L","APARTMENT 118","EMPRESS COURT","WOODINS WAY","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-A18B-2439-E050-A8C06205342E/current"
"23B6165E-BB4A-FCF4-E050-A8C0620577FA","450000","2015-08-28","OX1 1HT","F","N","L","APARTMENT 9","THE STREAM EDGE","FISHER ROW","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-BB4A-FCF4-E050-A8C0620577FA/current"
"C1C938FA-7B5A-48E7-BFBC-6A55C2E65B49","267700","2015-01-22","OX1 1HY","F","N","L","","29","VENNEIT CLOSE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/C1C938FA-7B5A-48E7-BFBC-6A55C2E65B49/current"
"B4CC60AC-4D89-4BA9-BD4A-7A226452F710","325000","2015-06-23","OX1 1HY","F","N","L","","50","VENNEIT CLOSE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/B4CC60AC-4D89-4BA9-BD4A-7A226452F710/current"
"25EA59FA-11EB-4D50-E050-A8C0630562D0","344000","2015-10-26","OX1 1HY","F","N","L","","77","VENNEIT CLOSE","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/25EA59FA-11EB-4D50-E050-A8C0630562D0/current"
"5FCF89B1-CDD9-4E8B-9BB3-C8C1E7841B50","274000","2015-06-10","OX1 1HZ","F","N","L","","9","VENNEIT CLOSE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/5FCF89B1-CDD9-4E8B-9BB3-C8C1E7841B50/current"
"49931D75-A607-4FEC-B65D-402C33F38784","530000","2015-06-08","OX1 1JE","F","N","L","FLAT 14","THE LION BREWERY","ST THOMAS STREET","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49931D75-A607-4FEC-B65D-402C33F38784/current"
"A986B3AD-8B12-41DD-8B55-84BA09E80AD5","457500","2015-07-08","OX1 1JE","F","N","L","FLAT 3","THE LION BREWERY","ST THOMAS STREET","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/A986B3AD-8B12-41DD-8B55-84BA09E80AD5/current"
"24C9502F-D43F-46EA-97DF-D3A412BFCF99","470000","2015-08-10","OX1 1JE","F","N","L","FLAT 34","THE LION BREWERY","ST THOMAS STREET","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/24C9502F-D43F-46EA-97DF-D3A412BFCF99/current"
"3A4821D7-4E69-4B03-A6DC-606438B3CF54","775000","2015-02-13","OX1 1JE","F","N","L","FLAT 7","THE LION BREWERY","ST THOMAS STREET","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3A4821D7-4E69-4B03-A6DC-606438B3CF54/current"
"21E5FEB7-427B-2439-E050-A8C06205342E","350000","2015-05-29","OX1 1JH","O","N","F","","THE HONEYPOT, 8","HOLLYBUSH ROW","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-427B-2439-E050-A8C06205342E/current"
"21E5FEB7-8004-2439-E050-A8C06205342E","2799999","2015-04-20","OX1 1JJ","O","N","F","","BREWERY GATE, 5","ST THOMAS STREET","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-8004-2439-E050-A8C06205342E/current"
"766C3412-946A-4DFF-9D8C-41E46AAA1929","450000","2015-05-15","OX1 1JR","F","N","L","27","CASTLE MEWS","ST THOMAS STREET","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/766C3412-946A-4DFF-9D8C-41E46AAA1929/current"
"369DFB16-898F-3A19-E050-A8C0620518C6","425000","2015-11-02","OX1 1LE","F","N","L","29","ROWLAND HILL COURT","OSNEY LANE","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/369DFB16-898F-3A19-E050-A8C0620518C6/current"
"288DCE29-915F-E510-E050-A8C06205480E","315000","2015-12-04","OX1 1RS","F","N","L","","25","PREACHERS LANE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/288DCE29-915F-E510-E050-A8C06205480E/current"
"4DA816A2-AB97-4A88-8CC7-4F680F40F5FB","302000","2015-03-27","OX1 1RU","F","N","L","","2","FRIARS WHARF","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4DA816A2-AB97-4A88-8CC7-4F680F40F5FB/current"
"2A7B66E8-5A45-441A-9E6A-516B1A70BB72","665000","2015-07-31","OX1 1SN","T","N","L","","13","SHIRELAKE CLOSE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2A7B66E8-5A45-441A-9E6A-516B1A70BB72/current"
"23B6165E-BB25-FCF4-E050-A8C0620577FA","305000","2015-10-21","OX1 1SN","F","N","L","","7","SHIRELAKE CLOSE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-BB25-FCF4-E050-A8C0620577FA/current"
"E0AEC42D-914C-4B2D-8FA3-1A8DD824DBED","451000","2015-07-06","OX1 1SU","T","N","F","","54","THAMES STREET","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/E0AEC42D-914C-4B2D-8FA3-1A8DD824DBED/current"
"D415469A-1477-44DB-BB8F-3B650F373059","330000","2015-08-20","OX1 1SW","F","N","L","FLAT 58","FOLLY BRIDGE COURT","SHIRELAKE CLOSE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/D415469A-1477-44DB-BB8F-3B650F373059/current"
"E63A6444-9639-4F45-9949-7AC8EE68DE9C","390000","2015-07-01","OX1 1SW","F","N","L","FLAT 9","FOLLY BRIDGE COURT","SHIRELAKE CLOSE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/E63A6444-9639-4F45-9949-7AC8EE68DE9C/current"
"21E5FEB7-A90B-2439-E050-A8C06205342E","750000","2015-04-24","OX1 1TB","O","N","F","","UNIT 12","OXFORD BUSINESS CENTRE","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-A90B-2439-E050-A8C06205342E/current"
"21E5FEB7-AC3E-2439-E050-A8C06205342E","750000","2015-04-24","OX1 1TB","O","N","F","","UNIT 13","OXFORD BUSINESS CENTRE","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-AC3E-2439-E050-A8C06205342E/current"
"21E5FEB7-A918-2439-E050-A8C06205342E","750000","2015-04-24","OX1 1TB","O","N","F","","UNIT 14","OXFORD BUSINESS CENTRE","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-A918-2439-E050-A8C06205342E/current"
"21E5FEB7-A7D7-2439-E050-A8C06205342E","750000","2015-04-24","OX1 1TB","O","N","F","","UNIT 15","OXFORD BUSINESS CENTRE","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-A7D7-2439-E050-A8C06205342E/current"
"4DBDAC0B-A6F8-4378-90A2-5E7D42DA7458","375000","2015-06-04","OX1 1TN","T","N","F","","20","TRINITY STREET","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4DBDAC0B-A6F8-4378-90A2-5E7D42DA7458/current"
"F5F9F1CE-D463-4C91-B269-9D0F5AE1ABF9","305000","2015-06-23","OX1 1TN","T","N","F","","29","TRINITY STREET","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/F5F9F1CE-D463-4C91-B269-9D0F5AE1ABF9/current"
"23B6165E-B97F-FCF4-E050-A8C0620577FA","416500","2015-10-09","OX1 1TQ","F","N","L","FLAT 16","RIVERCOURT, 1","TRINITY STREET","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-B97F-FCF4-E050-A8C0620577FA/current"
"241A4A53-C1E2-706B-E050-A8C06205638B","365000","2015-07-23","OX1 1TS","T","N","F","","20","THAMES STREET","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/241A4A53-C1E2-706B-E050-A8C06205638B/current"
"21E5FEB6-47C5-2439-E050-A8C06205342E","365000","2015-04-29","OX1 1TS","T","N","F","","26","THAMES STREET","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB6-47C5-2439-E050-A8C06205342E/current"
"23B6165E-BA08-FCF4-E050-A8C0620577FA","480000","2015-10-13","OX1 1TW","T","N","F","","4","PARADISE SQUARE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-BA08-FCF4-E050-A8C0620577FA/current"
"AA934DF6-6A10-4F67-BCB0-BDB2B9C84FEE","360000","2015-06-11","OX1 1TX","T","N","F","","3","SADLER WALK","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/AA934DF6-6A10-4F67-BCB0-BDB2B9C84FEE/current"
"D7CC9043-643F-4327-BA5D-19F888790D75","425000","2015-07-24","OX1 1UD","F","N","L","FLAT 11","TENNYSON LODGE","PARADISE SQUARE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/D7CC9043-643F-4327-BA5D-19F888790D75/current"
"23B6165E-BA60-FCF4-E050-A8C0620577FA","340000","2015-09-21","OX1 1UD","F","N","L","FLAT 15","TENNYSON LODGE","PARADISE SQUARE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-BA60-FCF4-E050-A8C0620577FA/current"
"21E5FEB7-03D8-2439-E050-A8C06205342E","345000","2015-02-12","OX1 1UD","F","N","L","FLAT 21","TENNYSON LODGE","PARADISE SQUARE","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-03D8-2439-E050-A8C06205342E/current"
"17B39840-C785-48FC-B7F4-2B03614364B3","337500","2015-08-07","OX1 1UD","F","N","L","FLAT 22","TENNYSON LODGE","PARADISE SQUARE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/17B39840-C785-48FC-B7F4-2B03614364B3/current"
