Block Address,Job Number,Description of repairs,Date Job Raised, Price to Charge (£) ,No of Flats, Charge per flat (£) ,
80-80B ABINGDON ROAD,08353306,PATCH REPAIR TO HALLWAY NEAR SMALL CUPBOARD - REF D.LYFORD.,09/05/2016, 25.59 ,3, 8.53 ,
1-6 ALBERT STREET,08530042,OVERHAUL ALL FIRE DOORS TO BLOCK  REPLACE MISSING OR DAMAGED PERKO CLOSERS SO DOORS CLOSE PROPERLY. REF IH,16/08/2016, 98.54 ,6, 16.42 ,
1-6 ALBERT STREET,08616753,"FIRE RISK ASESSMENT HOUSING - ANY NON-COMPLIANT DOORS SHOULD BE CHECKED TO ENSURE THEY ARE NOT LEASEHOLDERS, BEFORE THEY ARE REPLACED.",29/09/2016, 701.72 ,6, 116.95 ,
1-6 ALBERT STREET,08969136,EO  HAS R EPORTED THAT THE WOODEN WINDOW ON THE STAIRWELL IS ROTTEN.,08/03/2017, 18.54 ,6, 3.09 ,
1-6 AMORY CLOSE,08468978,"REAR OF - ONE-OFF THOROUGH DEEP CLEAN, TIDY UP GARDENS, FACE UP HEDGES, CUT BACK ALL BRANCHES, GRUB OUT ALL VEGETATION & SUCKERS, REMOVE RUBBISH.  FAO: SC",12/07/2016, 928.00 ,6, 154.67 ,
1-6 AMORY CLOSE,08521385,PLEASE ATTEND LEAK FROM OVERFLOW PIPE. AFFECTING BLOCK BUT REPORTED BY FLAT 6 OWNED BY ANDREW LETTINGS. CALL OFFICE ON 01865759556 FOR KEYS AND ACCESS OR TNT MS KIRBY ON 07939896754.,10/08/2016, 197.58 ,6, 32.93 ,
1-6 AMORY CLOSE,08616922,"FIRE RISK ASESSMENT HOUSING - ANY NON-COMPLIANT DOORS SHOULD BE CHECKED TO ENSURE THEY ARE NOT LEASEHOLDERS, BEFORE THEY ARE REPLACED.",29/09/2016, 11.03 ,6, 1.84 ,
1-6 AMORY CLOSE,08665256,"FIRE RISK ASESSMENT HOUSING - ANY NON-COMPLIANT DOORS SHOULD BE CHECKED TO ENSURE THEY ARE NOT LEASEHOLDERS, BEFORE THEY ARE REPLACED.",19/10/2016, 20.30 ,6, 3.38 ,
1-6 AMORY CLOSE,08983804,PLEASE ATTEND TO LEAKING OVERFLOW WATER TANK ACCESABLE FROM FLAT  6 REPORTED BY LEASE HOLDER MANAGER,16/03/2017, 46.83 ,6, 7.81 ,
7-12 AMORY CLOSE,08468981,"REAR OF - ONE-OFF THOROUGH DEEP CLEAN, TIDY UP GARDENS, FACE UP HEDGES, CUT BACK ALL BRANCHES, GRUB OUT ALL VEGETATION & SUCKERS, REMOVE RUBBISH.  FAO: SC",12/07/2016, 980.00 ,6, 163.33 ,
1-12 ANDROMEDA CLOSE,08287333,HANDLE BROKEN OFF COMMUNAL BIN STORE DOOR.   MISS WHITE 07511476907,04/04/2016, 56.72 ,12, 4.73 ,
