Body Name,Organisational Unit,Expenditure Category,Expenditure Code,Narrative,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name 
Oxford City Council,HRA,Asbestos Work,B1106, ,03/11/2015,60045909_1,£900.00,Revenue,20000209,Amity Insulation Services Ltd
Oxford City Council,Direct Services,Materials,D3021, ,15/12/2015,60047887_0,£1187.19,Revenue,20002431,Timbmet Ltd
Oxford City Council,Direct Services,Materials,D3021, ,19/01/2016,60049193_1,£2374.40,Revenue,20012307,Ashtead Plant Hire
Oxford City Council,Direct Services,Materials,D3021, ,14/04/2015,60036422_1,£1181.04,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,14/04/2015,60036424_1,£666.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021, ,14/04/2015,60036425_1,£1184.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,28/04/2015,60037027_0,£1248.00,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,28/04/2015,60037031_0,£801.84,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,28/04/2015,60037032_1,£947.43,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,28/04/2015,60037172_1,£619.84,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,28/04/2015,60037199_0,£980.84,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,28/04/2015,60037263_0,£1478.52,Revenue,20002005,Hanson Aggregates
Oxford City Council,Suspense,Materials,D3021   , ,28/04/2015,60037264_1,£853.06,Revenue,20002005,Hanson Aggregates
Oxford City Council,Direct Services,Materials,D3021   , ,28/04/2015,60037265_0,£1425.24,Revenue,20002005,Hanson Aggregates
Oxford City Council,Suspense,Materials,D3021   , ,27/05/2015,60038343_0,£637.88,Revenue,20002005,Hanson Aggregates
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_21,£425.55,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Financial Services,Grants,D3701,Flooding Relief,07/04/2015,46285340_1,£1054.11,Revenue,20000000_46285340,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Flooding Relief,07/04/2015,46285341_1,£1255.18,Revenue,20000000_46285341,Redacted Personal Data
Oxford City Council,Housing and Property,Reactive Maintenance & Minor Repairs,B1101,Dilapidations Payment 3 Cornmarket St,07/04/2015,46285354_1,£8310.60,Revenue,20000000_46285354,The Eyre Estate Investment Fund
Oxford City Council,Direct Services,Grants,D3701,2014-15 Grant Funding,01/04/2015,46285364_1,£866.34,Revenue,20000000_46285364,Barracks Lane Allotmnet
Oxford City Council,Direct Services,Grants,D3701,Design For Allotment Signs,01/04/2015,46285377_1,£500.00,Revenue,20000000_46285377,Oxford & District Federation Of Allotment Associations
Oxford City Council,Organisational Development,Short Courses,A0622,Young Local Authority Of The Year 2015,07/04/2015,46285393_1,£1100.00,Revenue,20000000_46285393,Young Programme Events Ltd
Oxford City Council,Financial Services,Grants,D3701,Rrg 22 Flooding Relief,21/04/2015,46285526_1,£5000.00,Revenue,20000000_46285526,Redacted Personal Data
Oxford City Council,Direct Services,Pitch & Site Rents,K9534,Bond Return 250 & 500 Deposit Return For 2 Science,21/04/2015,46285562_1,£750.00,Revenue,20000000_46285562,Oxfordshire Science Festival
Oxford City Council,Financial Services,Grants,D3701,Redacted Personal Data,28/04/2015,46285617_1,£3488.10,Revenue,20000000_46285617,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Redacted Personal Data,28/04/2015,46285637_1,£4986.00,Revenue,20000000_46285637,Redacted Personal Data
Oxford City Council,Community Services,Contributions,D3702,Naf05 Wolvercote Lunch Club (1),06/05/2015,46285718_1,£500.00,Revenue,20000000_46285718,Wolvercote Lunch Club
Oxford City Council,Suspense,Creditors - BACS,J8810,Payment Made To Us In Error,06/05/2015,46285719_1,£1000.00,Revenue,20000000_46285719,Isis Academy
Oxford City Council,Financial Services,Grants,D3701,Redacted Personal Data,12/05/2015,46285722_1,£1229.17,Revenue,20000000_46285722,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Redacted Personal Data,12/05/2015,46285736_1,£4082.40,Revenue,20000000_46285736,Redacted Personal Data
Oxford City Council,Suspense,Property Rents/Income,K9550,The Coven Oxpens Rent Deposit,12/05/2015,46285766_1,£11250.00,Revenue,20000000_46285766,Starwhite Ltd
Oxford City Council,Planning & Regulatory,Services - General Fees,K9501,Award Of Costs ,19/05/2015,46285827_1,£2500.00,Revenue,20000000_46285827,Jhp (exeter) Ltd
Oxford City Council,Suspense,Creditors - BACS,J8810,101004981/101005813 Paid To Us In Error,19/05/2015,46285828_1,£2747.55,Revenue,20000000_46285828,Nhs Property Services Ltd
Oxford City Council,Business Improvement,Conferences,D3602,Inv-2256  Social Media Recrutment  Mastercalss,19/05/2015,46285833_1,£950.00,Revenue,20000000_46285833,Imparture Ltd
Oxford City Council,Financial Services,Grants,D3701,Rrg Flooding Relief,09/06/2015,46286100_1,£4479.99,Revenue,20000000_46286100,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Rrg Flooding Relief 60& 60 Edwin Court,09/06/2015,46286101_1,£10000.00,Revenue,20000000_46286101,Edwin Court Residents Association
Oxford City Council,Financial Services,Grants,D3701,Rrg Flooding Relief,09/06/2015,46286102_1,£4926.63,Revenue,20000000_46286102,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Rrg Flooding Relief,09/06/2015,46286104_1,£2026.37,Revenue,20000000_46286104,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Rrg Flooding Relief,09/06/2015,46286105_1,£5000.00,Revenue,20000000_46286105,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Rrg Flooding Relief,09/06/2015,46286106_1,£2516.48,Revenue,20000000_46286106,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Rrg Flooding Relief,09/06/2015,46286107_1,£5000.00,Revenue,20000000_46286107,Redacted Personal Data
Oxford City Council,Direct Services,Consultants Fees,D3411,Dog Kennelling Feb 2014,09/06/2015,46286110_1,£884.00,Revenue,20000000_46286110,Mmi Associates
Oxford City Council,Direct Services,General Contracted Services,D3401,Dog Kennelling  Jan 2014,09/06/2015,46286111_1,£2465.00,Revenue,20000000_46286111,Mmi Associates Ltd
Oxford City Council,Direct Services,General Contracted Services,D3401,Dog Kenneling March 2014,09/06/2015,46286113_1,£1306.00,Revenue,20000000_46286113,Mmi Associates Ltd
Oxford City Council,Community Services,Pitch & Site Rents,K9534,Bond Return Re Stunt Show Marston Rd Recreation,09/06/2015,46286115_1,£1500.00,Revenue,20000000_46286115,Extreme Events Europe Ltd
Oxford City Council,Community Services,Pitch & Site Rents,K9534,Bond Return  Guide Dogs Bionn Sq 2-6 Dec,09/06/2015,46286116_1,£500.00,Revenue,20000000_46286116,Charity Link
Oxford City Council,Financial Services,General Contracted Services,D3401,Traceiqsmartuser Inv # 0000034391 A/c # 134653,09/06/2015,46286159_1,£1332.40,Revenue,20000000_46286159,Lexis Nexis
Oxford City Council,Community Services,Pitch & Site Rents,K9534,Bond Return Fireworks & Bonfire 8 November,16/06/2015,46286276_1,£1500.00,Revenue,20000000_46286276,Oxford Round Table Cahritable Trust
Oxford City Council,Direct Services,Hire Of Premises/Temp Accom,B1820,Repayment Of Insurance Bill,16/06/2015,46286279_1,£939.68,Revenue,20000000_46286279,Odfaa
Oxford City Council,Financial Services,Grants,D3701,Redacted Personal Data,16/06/2015,46286281_1,£5000.00,Revenue,20000000_46286281,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Payment Of Rrg Flooding Relief,23/06/2015,46286318_1,£5000.00,Revenue,20000000_46286318,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Payment Of Grant For Flooding Relief Rrg,23/06/2015,46286320_1,£5000.00,Revenue,20000000_46286320,Redacted Personal Data
Oxford City Council,Direct Services,Other Miscellaneous Expenses,D3811,Payment As A Gesture Of Goodwill,23/06/2015,46286341_1,£1000.00,Revenue,20000000_46286341,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Payment Of Rrg Flooding Relief,23/06/2015,46286342_1,£5000.00,Revenue,20000000_46286342,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Payment Of Rrg Flooding Relief,23/06/2015,46286343_1,£975.69,Revenue,20000000_46286343,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Payment Of Rrg Flooding Relief,23/06/2015,46286344_1,£4155.60,Revenue,20000000_46286344,Redacted Personal Data
Oxford City Council,Financial Services,Grants,D3701,Payment For Rrgflooding Relief,23/06/2015,46286348_1,£4972.80,Revenue,20000000_46286348,Redacted Personal Data
Oxford City Council,Planning & Regulatory,Compensation,D3805,Apps Settlement Sum Inv 102030/1,30/06/2015,46286405_1,£109121.90,Revenue,20000000_46286405,Bevan Brittan Llp
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,07/04/2015,46285336_1,£595.00,Revenue,20000010_46285336,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,07/04/2015,46285343_1,£623.00,Revenue,20000010_46285343,Lee & Lindars
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,07/04/2015,46285344_1,£925.00,Revenue,20000010_46285344,Letsco
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,07/04/2015,46285345_1,£684.00,Revenue,20000010_46285345,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,21/04/2015,46285502_1,£1730.00,Revenue,20000010_46285502,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,Redacted Personal Data,21/04/2015,46285516_1,£686.98,Revenue,20000010_46285516,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,Redacted Personal Data,21/04/2015,46285517_1,£1082.77,Revenue,20000010_46285517,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285604_1,£616.00,Revenue,20000010_46285604,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285605_1,£1122.00,Revenue,20000010_46285605,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285606_1,£1063.56,Revenue,20000010_46285606,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285607_1,£1850.00,Revenue,20000010_46285607,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285608_1,£925.00,Revenue,20000010_46285608,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285609_1,£900.00,Revenue,20000010_46285609,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285611_1,£763.56,Revenue,20000010_46285611,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285612_1,£1800.00,Revenue,20000010_46285612,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285613_1,£943.56,Revenue,20000010_46285613,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285614_1,£1021.15,Revenue,20000010_46285614,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,28/04/2015,46285615_1,£550.00,Revenue,20000010_46285615,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Topupnon (ham Payment Ref.27551,06/05/2015,46285669_1,£1200.00,Revenue,20000010_46285669,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Ham Payment Ref.27558,06/05/2015,46285672_1,£1500.00,Revenue,20000010_46285672,Grande Property Services
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Ham Payment Ref.27561,06/05/2015,46285674_1,£2300.00,Revenue,20000010_46285674,Grande Propert Services
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Ham Payment Ref.27568,06/05/2015,46285676_1,£1242.60,Revenue,20000010_46285676,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Tdeposit Ham Payment Ref.27575,06/05/2015,46285681_1,£1850.00,Revenue,20000010_46285681,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Rentadv Ham Payment Ref.27574,06/05/2015,46285682_1,£925.00,Revenue,20000010_46285682,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Topupnon Ham Payment Ref.27573,06/05/2015,46285683_1,£1091.04,Revenue,20000010_46285683,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Findersfee Ham Payment Ref.27571,06/05/2015,46285685_1,£900.00,Revenue,20000010_46285685,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,06/05/2015,46285711_1,£1232.76,Revenue,20000010_46285711,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,06/05/2015,46285713_1,£1150.00,Revenue,20000010_46285713,Grande Property Services
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108, ,21/04/2015,46285475_36,£2204.76,Revenue,20000200,Champion Employment Ltd
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,12/05/2015,46285741_1,£1091.04,Revenue,20000010_46285741,Morgan Carver & Aldworth
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,12/05/2015,46285742_1,£1091.04,Revenue,20000010_46285742,Morgan Carver & Aldworth
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,12/05/2015,46285743_1,£1091.04,Revenue,20000010_46285743,Admiral Homes
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,12/05/2015,46285744_1,£1091.04,Revenue,20000010_46285744,Admiral Homes
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,12/05/2015,46285745_1,£1091.04,Revenue,20000010_46285745,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,12/05/2015,46285767_1,£900.00,Revenue,20000010_46285767,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285775_1,£1500.00,Revenue,20000010_46285775,Bluestone Lettings & Management Ltd
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285775_2,£1000.00,Revenue,20000010_46285775,Bluestone Lettings & Management Ltd
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285775_3,£180.00,Revenue,20000010_46285775,Bluestone Lettings & Management Ltd
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285776_1,£1125.00,Revenue,20000010_46285776,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285776_2,£750.00,Revenue,20000010_46285776,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285776_3,£210.00,Revenue,20000010_46285776,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285776_4,£105.00,Revenue,20000010_46285776,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285818_1,£1099.24,Revenue,20000010_46285818,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285819_1,£791.04,Revenue,20000010_46285819,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285821_1,£564.00,Revenue,20000010_46285821,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,19/05/2015,46285822_1,£534.00,Revenue,20000010_46285822,Letsco
Oxford City Council,HRA,Special Events,D3807,Redacted Personal Data,27/05/2015,46285906_1,£1194.76,Revenue,20000010_46285906,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,Redacted Personal Data,27/05/2015,46285907_1,£1119.82,Revenue,20000010_46285907,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,27/05/2015,46285909_1,£791.04,Revenue,20000010_46285909,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,27/05/2015,46285910_1,£1575.00,Revenue,20000010_46285910,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,27/05/2015,46285911_1,£731.04,Revenue,20000010_46285911,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,27/05/2015,46285939_1,£791.04,Revenue,20000010_46285939,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,27/05/2015,46285945_1,£2390.00,Revenue,20000010_46285945,Lee & Lindars
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,27/05/2015,46285951_1,£880.37,Revenue,20000010_46285951,Admiral Homes
Oxford City Council,HRA,Special Events,D3807,Redacted Personal Data,27/05/2015,46285952_1,£765.83,Revenue,20000010_46285952,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286028_1,£931.46,Revenue,20000010_46286028,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,Redacted Personal Data,02/06/2015,46286029_1,£952.35,Revenue,20000010_46286029,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286032_1,£595.00,Revenue,20000010_46286032,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286037_1,£1175.30,Revenue,20000010_46286037,Andrews Letting & Management
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286045_1,£1296.00,Revenue,20000010_46286045,Sterling Residential Lettings
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286046_1,£1944.00,Revenue,20000010_46286046,Sterling Residential Lettings
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286049_1,£550.00,Revenue,20000010_46286049,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286052_1,£1500.00,Revenue,20000010_46286052,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286053_1,£1500.00,Revenue,20000010_46286053,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286054_1,£2442.60,Revenue,20000010_46286054,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286055_1,£1650.00,Revenue,20000010_46286055,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286056_1,£834.08,Revenue,20000010_46286056,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286057_1,£900.00,Revenue,20000010_46286057,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,02/06/2015,46286059_1,£820.00,Revenue,20000010_46286059,Landlord Assist
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,09/06/2015,46286161_1,£550.00,Revenue,20000010_46286161,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,09/06/2015,46286171_1,£3642.60,Revenue,20000010_46286171,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,09/06/2015,46286172_1,£1100.00,Revenue,20000010_46286172,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,09/06/2015,46286173_1,£791.04,Revenue,20000010_46286173,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,16/06/2015,46286270_1,£1000.00,Revenue,20000010_46286270,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,16/06/2015,46286271_1,£1000.00,Revenue,20000010_46286271,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,16/06/2015,46286280_1,£620.00,Revenue,20000010_46286280,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,23/06/2015,46286289_1,£600.00,Revenue,20000010_46286289,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,23/06/2015,46286290_1,£1425.00,Revenue,20000010_46286290,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,Redacted Personal Data,23/06/2015,46286291_1,£806.88,Revenue,20000010_46286291,Cherwell Property Services Ltd. 
