Reference,Name of Asset,Address of Asset,Date nomination requested,Date of decision,Date owner announced intention to dispose,Date interim moratorium will end,Date full moratorium triggered,Date full moratorium will end,End of protected period
15/006,Cowley Workers Social Club,"Between Towns Road, OX4 3LZ",23/10/2015,22/12/2015,,,,,
13/002PF270615,Fairview Inn,"16 Glebelands, Oxford, OX3 7EN",14/05/2013,03/07/2013,15/07/2013,26/08/2013,,,
15/001,Florence Park Community Centre,"Cornwallis Road, Cowley, Oxford, OX4 3NH",14/01/2015,03/03/2015,,,,,
15_002,Oxford Stadium,"Sandy Lane, Oxford",06/05/2015,10/06/2015,,,,,
14/003,SS Mary and John School,"Hertford Street, Oxford",14/12/2014,22/01/2015,16/12/2016,27/01/2017,,,
16/004,Temple Cowley United Reform Church ,"Oxford Road, Cowley, OX4 2ES ",23/03/2016,14/07/2016,,,,,
15_004,The Ampleforth Arms Public House,"53 Collingwood Road, Risinghurst Oxford",24/06/2015,10/08/2015,20/08/2015,01/10/2015,20/08/2015,20/02/2015,20/02/2016
16/003,The Chester,"19 Chester Street, Oxford, OX4 1SN ",25/03/2016,23/05/2016,,,,,
15/005,The Corner House Public House,"Hollow Way, Oxford, OX3 7JF",17/09/2015,10/11/2015,,,,,
16/002,The Fir Tree,"163 Iffley Road, Oxford, OX4 1EJ",25/03/2016,23/05/2016,,,,,
13/004PF277072,The Gladiator Club,"263 Iffley Road, Oxford",02/09/2013,23/10/2013,05/11/2013,17/12/2013,17/12/2013,05/05/2014,05/05/2015
16/008,The Hollybush ,"106 Bridge Street, Oxford OX2 0BD",29/09/2016,13/02/2017,05/04/2017,17/05/2017,,,
15_003,The Jack Russell Public House,"21 Salford Road, Old Marston, Oxford",06/05/2015,30/06/2015,,,,,
13/001PF267549,The Kassam Stadium,"Grenoble Road, Oxford, OX4 4XP",14/01/2013,10/05/2013,,,,,
13/003PF271120,The Post Box,"82 Godstow Road, Wolvercote, Oxford, OX2 8NY",31/05/2013,22/07/2013,23/07/2013,03/09/2013,30/08/2013,23/01/2014,23/01/2015
16/007,The Red Lion Public House,"42 Oxford Road, Old Marston, Oxford, OX3 0PH",22/07/2016,29/09/2016,,,,,
16/001,The Somerset Pub,"Somerset House, 241 Marston Road, Oxford, OX3 0EN",12/02/2016,12/04/2016,,,,,
16/005,The White Hart Public House,"126 Godstow Road, Wolvercote, Oxford, OX2 8PQ",23/04/2016,29/06/2016,,,,,
