Accident Index,Timestamp,Year,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
201643P192056,"10:14pm, 20th May 2016",2016,fatal,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P192056/,https://api.cyclestreets.net/v2/collisions.location?id=201643P192056,51.78841,-1.281028
201143P262101,"9:10am, 28th October 2011",2011,fatal,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P262101/,https://api.cyclestreets.net/v2/collisions.location?id=201143P262101,51.768068,-1.265817
200943P110039,"11:11am, 14th March 2009",2009,fatal,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200943P110039/,https://api.cyclestreets.net/v2/collisions.location?id=200943P110039,51.723053,-1.22876
200743P148047,"9:50am, 18th April 2007",2007,fatal,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200743P148047/,https://api.cyclestreets.net/v2/collisions.location?id=200743P148047,51.75487,-1.254586
2016430039339.00,"9:12am, 17th December 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016430039339/,https://api.cyclestreets.net/v2/collisions.location?id=2016430039339,51.749893,-1.243963
2016430286835.00,"7:52pm, 6th October 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016430286835/,https://api.cyclestreets.net/v2/collisions.location?id=2016430286835,51.732379,-1.207128
2016430313547.00,"8:00am, 2nd November 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016430313547/,https://api.cyclestreets.net/v2/collisions.location?id=2016430313547,51.749065,-1.204316
2016430319128.00,"12:25pm, 7th November 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016430319128/,https://api.cyclestreets.net/v2/collisions.location?id=2016430319128,51.762325,-1.260519
2016430326214.00,"6:00pm, 20th October 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016430326214/,https://api.cyclestreets.net/v2/collisions.location?id=2016430326214,51.751148,-1.223922
201643P023016,"5:26pm, 5th January 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P023016/,https://api.cyclestreets.net/v2/collisions.location?id=201643P023016,51.759624,-1.205883
201643P024056,"3:45pm, 3rd May 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P024056/,https://api.cyclestreets.net/v2/collisions.location?id=201643P024056,51.724613,-1.216789
201643P026056,"11:56pm, 4th May 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P026056/,https://api.cyclestreets.net/v2/collisions.location?id=201643P026056,51.749893,-1.244035
201643P039036,"8:15am, 4th March 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P039036/,https://api.cyclestreets.net/v2/collisions.location?id=201643P039036,51.752796,-1.220533
201643P083086,"6:41pm, 11th August 2016",2016,serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201643P083086/,https://api.cyclestreets.net/v2/collisions.location?id=201643P083086,51.725128,-1.256319
201643P085086,"9:28pm, 13th August 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P085086/,https://api.cyclestreets.net/v2/collisions.location?id=201643P085086,51.745475,-1.230826
201643P105076,"1:50pm, 13th July 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P105076/,https://api.cyclestreets.net/v2/collisions.location?id=201643P105076,51.747459,-1.235892
201643P131026,"11:35am, 12th February 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P131026/,https://api.cyclestreets.net/v2/collisions.location?id=201643P131026,51.751365,-1.205463
201643P148076,"8:30am, 6th July 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P148076/,https://api.cyclestreets.net/v2/collisions.location?id=201643P148076,51.750614,-1.22464
201643P150086,"7:00pm, 16th August 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P150086/,https://api.cyclestreets.net/v2/collisions.location?id=201643P150086,51.759456,-1.213318
201643P156046,"8:13pm, 4th April 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P156046/,https://api.cyclestreets.net/v2/collisions.location?id=201643P156046,51.751022,-1.267107
201643P175036,"5:45pm, 15th March 2016",2016,serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201643P175036/,https://api.cyclestreets.net/v2/collisions.location?id=201643P175036,51.734848,-1.250411
