Month,Year,Area,Topic,Transaction,Telephone or Face to Face,Online,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Bulky Waste Collections,1223,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Tenancy Services,Rent Query,1177,4,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case,1011,26,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payments and Balance Query,1003,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Repairs Emergency Work Order - Servitor Case,880,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Request for Information,708,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Gas,Gas Service Booked - Standard Wrap Up,630,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Made,604,3075,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Any Other Query,600,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Change in Circs,590,37,,,,,,,,,,,,,,,,,,,,,
April,2016,3Cs reports,3Cs reports,3Cs reports,558,136,,,,,,,,,,,,,,,,,,,,,
April,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Tenancy Services,Tenancy Query,439,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Assessment Query,425,,,,,,,,,,,,,,,,,,,,,,
April,2016,Oxford City Homes,Repairs to Homes,Repairs - appointment confirmed,399,,,,,,,,,,,,,,,,,,,,,,
April,2016,Law and Governance,Electoral Services,Elections Query,379,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Payment Query,357,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Missed Collection,304,81,,,,,,,,,,,,,,,,,,,,,
April,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Pest Control Treatment,Pest Control Treatment,300,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Refund Request,276,,,,,,,,,,,,,,,,,,,,,,
April,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Recovery Action,239,,,,,,,,,,,,,,,,,,,,,,
